LocationID,Borough,Zone,service_zone,Population,MedianHouseholdIncome,HousingUnits,Transport_CarAlone_pct,Transport_Carpool_pct,Transport_PublicTransit_pct,Transport_Walked_pct,Transport_Bicycle_pct,Transport_Other_pct,Transport_WorkFromHome_pct
166,Manhattan,Morningside Heights,Boro Zone,1694251.0,106403.0,932314.0,5.2,1.1,51.0,18.3,3.1,3.2,18.1
167,Bronx,Morrisania/Melrose,Boro Zone,1472654.0,46040.0,574059.0,23.1,5.1,54.5,7.2,0.5,2.8,6.8
168,Bronx,Mott Haven/Port Morris,Boro Zone,1472654.0,46040.0,574059.0,23.1,5.1,54.5,7.2,0.5,2.8,6.8
169,Bronx,Mount Hope,Boro Zone,1472654.0,46040.0,574059.0,23.1,5.1,54.5,7.2,0.5,2.8,6.8
170,Manhattan,Murray Hill,Yellow Zone,1694251.0,106403.0,932314.0,5.2,1.1,51.0,18.3,3.1,3.2,18.1
171,Queens,Murray Hill-Queens,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
172,Staten Island,New Dorp/Midland Beach,Boro Zone,495747.0,97911.0,185848.0,50.8,11.9,25.1,3.2,0.1,1.4,7.6
173,Queens,North Corona,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
174,Bronx,Norwood,Boro Zone,1472654.0,46040.0,574059.0,23.1,5.1,54.5,7.2,0.5,2.8,6.8
175,Queens,Oakland Gardens,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
176,Staten Island,Oakwood,Boro Zone,495747.0,97911.0,185848.0,50.8,11.9,25.1,3.2,0.1,1.4,7.6
177,Brooklyn,Ocean Hill,Boro Zone,2736074.0,81027.0,1122521.0,17.0,4.2,51.3,9.1,2.2,2.1,14.1
178,Brooklyn,Ocean Parkway South,Boro Zone,2736074.0,81027.0,1122521.0,17.0,4.2,51.3,9.1,2.2,2.1,14.1
179,Queens,Old Astoria,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
180,Queens,Ozone Park,Boro Zone,2405464.0,85273.0,922890.0,30.0,5.5,45.8,5.4,1.1,2.3,10.1
181,Brooklyn,Park Slope,Boro Zone,2736074.0,81027.0,1122521.0,17.0,4.2,51.3,9.1,2.2,2.1,14.1
182,Bronx,Parkchester,Boro Zone,1472654.0,46040.0,574059.0,23.1,5.1,54.5,7.2,0.5,2.8,6.8
